SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,P(Iris-setosa/Info),P(Iris-versicolor/Info),P(Iris-virginica/Info),Pred,Pred Name,Correct Pred,,,,,
5.1,3.5,1.4,0.2,Iris-setosa,2.709415238,8.2392E-18,5.94834E-25,2.709415238,Iris-setosa,1,,P(Iris-setosa),0.33,,
4.9,3,1.4,0.2,Iris-setosa,1.504530796,4.66929E-17,1.02217E-24,1.504530796,Iris-setosa,1,,P(Iris-versicolor),0.33,,
4.7,3.2,1.3,0.2,Iris-setosa,1.146032992,2.72576E-18,8.33806E-26,1.146032992,Iris-setosa,1,,P(Iris-virginica),0.33,,
4.6,3.1,1.5,0.2,Iris-setosa,1.094555867,3.29954E-17,9.34163E-25,1.094555867,Iris-setosa,1,,,,,
5,3.6,1.4,0.2,Iris-setosa,2.563116056,2.67577E-18,2.33711E-25,2.563116056,Iris-setosa,1,,,,,
5.4,3.9,1.7,0.4,Iris-setosa,0.110717221,3.07962E-15,4.92276E-22,0.110717221,Iris-setosa,1,,,,Iris-setosa,
4.6,3.4,1.4,0.3,Iris-setosa,1.403264121,3.35462E-17,1.15425E-24,1.403264121,Iris-setosa,1,,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
5,3.4,1.5,0.2,Iris-setosa,3.006237908,4.20762E-17,2.47087E-24,3.006237908,Iris-setosa,1,MEAN,5.006,3.418,1.464,0.244
4.4,2.9,1.4,0.2,Iris-setosa,0.260152935,5.01796E-18,9.09331E-26,0.260152935,Iris-setosa,1,SD,0.352489687,0.381024398,0.173511159,0.107209503
4.9,3.1,1.5,0.1,Iris-setosa,0.896403802,6.20025E-18,3.03797E-25,0.896403802,Iris-setosa,1,,,,,
5.4,3.7,1.5,0.2,Iris-setosa,1.225527556,1.17998E-17,1.85186E-24,1.225527556,Iris-setosa,1,,,,,
4.8,3.4,1.6,0.2,Iris-setosa,1.904859222,6.5961E-17,3.989E-24,1.904859222,Iris-setosa,1,,,,Iris-versicolor,
4.8,3,1.4,0.1,Iris-setosa,0.585727878,1.53539E-18,5.53049E-26,0.585727878,Iris-setosa,1,,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
4.3,3,1.1,0.1,Iris-setosa,0.01108257,1.90815E-21,6.42817E-29,0.01108257,Iris-setosa,1,MEAN,5.936,2.77,4.26,1.326
5.8,4,1.2,0.2,Iris-setosa,0.023811492,1.39629E-20,6.27014E-27,0.023811492,Iris-setosa,1,SD,0.516171147,0.313798323,0.469910977,0.19775268
5.7,4.4,1.5,0.4,Iris-setosa,0.005905847,3.8701E-19,2.78196E-25,0.005905847,Iris-setosa,1,,,,,
5.4,3.9,1.3,0.4,Iris-setosa,0.178624782,2.0758E-17,2.40548E-24,0.178624782,Iris-setosa,1,,,,,
5.1,3.5,1.4,0.3,Iris-setosa,2.57160734,1.29075E-16,6.26479E-24,2.57160734,Iris-setosa,1,,,,Iris-virginica,
5.7,3.8,1.7,0.3,Iris-setosa,0.100814311,1.17404E-15,2.67629E-22,0.100814311,Iris-setosa,1,,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
5.1,3.8,1.5,0.3,Iris-setosa,1.66800295,3.15605E-17,3.42726E-24,1.66800295,Iris-setosa,1,MEAN,6.588,2.974,5.552,2.026
5.4,3.4,1.7,0.2,Iris-setosa,0.652245864,1.41332E-15,1.30666E-22,0.652245864,Iris-setosa,1,SD,0.635879593,0.322496638,0.551894696,0.274650056
5.1,3.7,1.5,0.4,Iris-setosa,0.833667396,1.03578E-15,6.66686E-23,0.833667396,Iris-setosa,1,,,,,
4.6,3.6,1,0.2,Iris-setosa,0.039575186,1.90299E-21,1.31339E-28,0.039575186,Iris-setosa,1,,ACCURACY,0.96,,
